,architecture,model_type,embeddings,hidden,num_layers,dropouts,bidirectional,learning_rate,epochs,dev_acc,dev_prec,dev_recall,metric
44,14,RNN,Law2Vec,0.3333333333333333,2,0.75,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
45,15,RNN,Law2Vec,0.3333333333333333,2,0.75,True,0.0001,10,0.711864406779661,0.09090909090909091,0.125,accuracy
46,15,RNN,Law2Vec,0.3333333333333333,2,0.75,True,0.0001,10,0.15254237288135594,0.13793103448275862,1.0,precision
47,15,RNN,Law2Vec,0.3333333333333333,2,0.75,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
48,16,RNN,Law2Vec,0.6666666666666666,1,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
49,16,RNN,Law2Vec,0.6666666666666666,1,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
50,16,RNN,Law2Vec,0.6666666666666666,1,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
51,17,RNN,Law2Vec,0.6666666666666666,1,0.5,False,0.0001,10,0.864406779661017,0.5,0.125,accuracy
52,17,RNN,Law2Vec,0.6666666666666666,1,0.5,False,0.0001,10,0.864406779661017,0.5,0.125,precision
53,17,RNN,Law2Vec,0.6666666666666666,1,0.5,False,0.0001,10,0.864406779661017,0.5,0.125,recall
54,18,RNN,Law2Vec,0.6666666666666666,1,0.5,True,0.01,10,0.864406779661017,,0.0,accuracy
55,18,RNN,Law2Vec,0.6666666666666666,1,0.5,True,0.01,10,0.8135593220338984,0.2,0.125,precision
56,18,RNN,Law2Vec,0.6666666666666666,1,0.5,True,0.01,10,0.23728813559322035,0.1509433962264151,1.0,recall
57,19,RNN,Law2Vec,0.6666666666666666,1,0.5,True,0.0001,10,0.711864406779661,0.09090909090909091,0.125,accuracy
58,19,RNN,Law2Vec,0.6666666666666666,1,0.5,True,0.0001,10,0.2033898305084746,0.14545454545454545,1.0,precision
59,19,RNN,Law2Vec,0.6666666666666666,1,0.5,True,0.0001,10,0.2033898305084746,0.14545454545454545,1.0,recall
60,20,RNN,Law2Vec,0.6666666666666666,1,0.75,False,0.01,10,0.864406779661017,,0.0,accuracy
61,20,RNN,Law2Vec,0.6666666666666666,1,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
62,20,RNN,Law2Vec,0.6666666666666666,1,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
63,21,RNN,Law2Vec,0.6666666666666666,1,0.75,False,0.0001,10,0.1864406779661017,0.12962962962962962,0.875,accuracy
64,21,RNN,Law2Vec,0.6666666666666666,1,0.75,False,0.0001,10,0.1694915254237288,0.14035087719298245,1.0,precision
65,21,RNN,Law2Vec,0.6666666666666666,1,0.75,False,0.0001,10,0.1694915254237288,0.14035087719298245,1.0,recall
66,22,RNN,Law2Vec,0.6666666666666666,1,0.75,True,0.01,10,0.864406779661017,,0.0,accuracy
67,22,RNN,Law2Vec,0.6666666666666666,1,0.75,True,0.01,10,0.3050847457627119,0.16326530612244897,1.0,precision
68,22,RNN,Law2Vec,0.6666666666666666,1,0.75,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
69,23,RNN,Law2Vec,0.6666666666666666,1,0.75,True,0.0001,10,0.8305084745762712,0.0,0.0,accuracy
70,23,RNN,Law2Vec,0.6666666666666666,1,0.75,True,0.0001,10,0.7288135593220338,0.1,0.125,precision
71,23,RNN,Law2Vec,0.6666666666666666,1,0.75,True,0.0001,10,0.711864406779661,0.09090909090909091,0.125,recall
72,24,RNN,Law2Vec,0.6666666666666666,2,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
73,24,RNN,Law2Vec,0.6666666666666666,2,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
74,24,RNN,Law2Vec,0.6666666666666666,2,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
75,25,RNN,Law2Vec,0.6666666666666666,2,0.5,False,0.0001,10,0.8305084745762712,0.25,0.125,accuracy
76,25,RNN,Law2Vec,0.6666666666666666,2,0.5,False,0.0001,10,0.8305084745762712,0.25,0.125,precision
77,25,RNN,Law2Vec,0.6666666666666666,2,0.5,False,0.0001,10,0.8305084745762712,0.25,0.125,recall
78,26,RNN,Law2Vec,0.6666666666666666,2,0.5,True,0.01,10,0.864406779661017,,0.0,accuracy
79,26,RNN,Law2Vec,0.6666666666666666,2,0.5,True,0.01,10,0.8305084745762712,0.25,0.125,precision
80,26,RNN,Law2Vec,0.6666666666666666,2,0.5,True,0.01,10,0.15254237288135594,0.13793103448275862,1.0,recall
81,27,RNN,Law2Vec,0.6666666666666666,2,0.5,True,0.0001,10,0.864406779661017,,0.0,accuracy
82,27,RNN,Law2Vec,0.6666666666666666,2,0.5,True,0.0001,10,0.3050847457627119,0.14893617021276595,0.875,precision
