,architecture,model_type,embeddings,hidden,num_layers,dropouts,bidirectional,learning_rate,epochs,dev_acc,dev_prec,dev_recall,metric
103,34,RNN,64,0.3333333333333333,1,0.5,True,0.01,10,0.1694915254237288,0.14035087719298245,1.0,precision
104,34,RNN,64,0.3333333333333333,1,0.5,True,0.01,10,0.1694915254237288,0.14035087719298245,1.0,recall
105,35,RNN,64,0.3333333333333333,1,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
106,35,RNN,64,0.3333333333333333,1,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
107,35,RNN,64,0.3333333333333333,1,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
108,36,RNN,64,0.3333333333333333,1,0.75,False,0.01,10,0.864406779661017,,0.0,accuracy
109,36,RNN,64,0.3333333333333333,1,0.75,False,0.01,10,0.6610169491525424,0.22727272727272727,0.625,precision
110,36,RNN,64,0.3333333333333333,1,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
111,37,RNN,64,0.3333333333333333,1,0.75,False,0.0001,10,0.6949152542372882,0.08333333333333333,0.125,accuracy
112,37,RNN,64,0.3333333333333333,1,0.75,False,0.0001,10,0.6949152542372882,0.08333333333333333,0.125,precision
113,37,RNN,64,0.3333333333333333,1,0.75,False,0.0001,10,0.6949152542372882,0.08333333333333333,0.125,recall
114,38,RNN,64,0.3333333333333333,1,0.75,True,0.01,10,0.847457627118644,0.0,0.0,accuracy
115,38,RNN,64,0.3333333333333333,1,0.75,True,0.01,10,0.6440677966101694,0.25925925925925924,0.875,precision
116,38,RNN,64,0.3333333333333333,1,0.75,True,0.01,10,0.22033898305084745,0.14814814814814814,1.0,recall
117,39,RNN,64,0.3333333333333333,1,0.75,True,0.0001,10,0.1694915254237288,0.12727272727272726,0.875,accuracy
118,39,RNN,64,0.3333333333333333,1,0.75,True,0.0001,10,0.1694915254237288,0.12727272727272726,0.875,precision
119,39,RNN,64,0.3333333333333333,1,0.75,True,0.0001,10,0.1694915254237288,0.12727272727272726,0.875,recall
120,40,RNN,64,0.3333333333333333,2,0.5,False,0.01,10,0.864406779661017,0.5,0.125,accuracy
121,40,RNN,64,0.3333333333333333,2,0.5,False,0.01,10,0.864406779661017,0.5,0.125,precision
122,40,RNN,64,0.3333333333333333,2,0.5,False,0.01,10,0.288135593220339,0.16,1.0,recall
123,41,RNN,64,0.3333333333333333,2,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
124,41,RNN,64,0.3333333333333333,2,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
125,41,RNN,64,0.3333333333333333,2,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
126,42,RNN,64,0.3333333333333333,2,0.5,True,0.01,10,0.847457627118644,0.0,0.0,accuracy
127,42,RNN,64,0.3333333333333333,2,0.5,True,0.01,10,0.423728813559322,0.19047619047619047,1.0,precision
128,42,RNN,64,0.3333333333333333,2,0.5,True,0.01,10,0.15254237288135594,0.13793103448275862,1.0,recall
129,43,RNN,64,0.3333333333333333,2,0.5,True,0.0001,10,0.23728813559322035,0.1509433962264151,1.0,accuracy
130,43,RNN,64,0.3333333333333333,2,0.5,True,0.0001,10,0.23728813559322035,0.1509433962264151,1.0,precision
131,43,RNN,64,0.3333333333333333,2,0.5,True,0.0001,10,0.23728813559322035,0.1509433962264151,1.0,recall
132,44,RNN,64,0.3333333333333333,2,0.75,False,0.01,10,0.864406779661017,,0.0,accuracy
133,44,RNN,64,0.3333333333333333,2,0.75,False,0.01,10,0.15254237288135594,0.13793103448275862,1.0,precision
134,44,RNN,64,0.3333333333333333,2,0.75,False,0.01,10,0.15254237288135594,0.13793103448275862,1.0,recall
135,45,RNN,64,0.3333333333333333,2,0.75,False,0.0001,10,0.864406779661017,,0.0,accuracy
136,45,RNN,64,0.3333333333333333,2,0.75,False,0.0001,10,0.864406779661017,,0.0,precision
137,45,RNN,64,0.3333333333333333,2,0.75,False,0.0001,10,0.864406779661017,,0.0,recall
138,46,RNN,64,0.3333333333333333,2,0.75,True,0.01,10,0.864406779661017,,0.0,accuracy
139,46,RNN,64,0.3333333333333333,2,0.75,True,0.01,10,0.2542372881355932,0.15384615384615385,1.0,precision
140,46,RNN,64,0.3333333333333333,2,0.75,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
141,47,RNN,64,0.3333333333333333,2,0.75,True,0.0001,10,0.13559322033898305,0.12280701754385964,0.875,accuracy
142,47,RNN,64,0.3333333333333333,2,0.75,True,0.0001,10,0.13559322033898305,0.12280701754385964,0.875,precision
143,47,RNN,64,0.3333333333333333,2,0.75,True,0.0001,10,0.11864406779661017,0.1206896551724138,0.875,recall
144,48,RNN,64,0.6666666666666666,1,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
145,48,RNN,64,0.6666666666666666,1,0.5,False,0.01,10,0.864406779661017,0.5,0.125,precision
146,48,RNN,64,0.6666666666666666,1,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
147,49,RNN,64,0.6666666666666666,1,0.5,False,0.0001,10,0.2542372881355932,0.15384615384615385,1.0,accuracy
148,49,RNN,64,0.6666666666666666,1,0.5,False,0.0001,10,0.2542372881355932,0.15384615384615385,1.0,precision
149,49,RNN,64,0.6666666666666666,1,0.5,False,0.0001,10,0.2542372881355932,0.15384615384615385,1.0,recall
150,50,RNN,64,0.6666666666666666,1,0.5,True,0.01,10,0.864406779661017,,0.0,accuracy
151,50,RNN,64,0.6666666666666666,1,0.5,True,0.01,10,0.6271186440677966,0.15,0.375,precision
152,50,RNN,64,0.6666666666666666,1,0.5,True,0.01,10,0.15254237288135594,0.13793103448275862,1.0,recall
153,51,RNN,64,0.6666666666666666,1,0.5,True,0.0001,10,0.7457627118644068,0.1111111111111111,0.125,accuracy
154,51,RNN,64,0.6666666666666666,1,0.5,True,0.0001,10,0.23728813559322035,0.1509433962264151,1.0,precision
155,51,RNN,64,0.6666666666666666,1,0.5,True,0.0001,10,0.1864406779661017,0.14285714285714285,1.0,recall
156,52,RNN,64,0.6666666666666666,1,0.75,False,0.01,10,0.864406779661017,,0.0,accuracy
157,52,RNN,64,0.6666666666666666,1,0.75,False,0.01,10,0.6779661016949152,0.13333333333333333,0.25,precision
158,52,RNN,64,0.6666666666666666,1,0.75,False,0.01,10,0.5932203389830508,0.1,0.25,recall
159,53,RNN,64,0.6666666666666666,1,0.75,False,0.0001,10,0.8813559322033898,1.0,0.125,accuracy
160,53,RNN,64,0.6666666666666666,1,0.75,False,0.0001,10,0.8813559322033898,1.0,0.125,precision
161,53,RNN,64,0.6666666666666666,1,0.75,False,0.0001,10,0.8813559322033898,1.0,0.125,recall
162,54,RNN,64,0.6666666666666666,1,0.75,True,0.01,10,0.7796610169491526,0.14285714285714285,0.125,accuracy
163,54,RNN,64,0.6666666666666666,1,0.75,True,0.01,10,0.7288135593220338,0.16666666666666666,0.25,precision
164,54,RNN,64,0.6666666666666666,1,0.75,True,0.01,10,0.1864406779661017,0.14285714285714285,1.0,recall
165,55,RNN,64,0.6666666666666666,1,0.75,True,0.0001,10,0.2542372881355932,0.14,0.875,accuracy
166,55,RNN,64,0.6666666666666666,1,0.75,True,0.0001,10,0.2542372881355932,0.14,0.875,precision
167,55,RNN,64,0.6666666666666666,1,0.75,True,0.0001,10,0.22033898305084745,0.1346153846153846,0.875,recall
168,56,RNN,64,0.6666666666666666,2,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
169,56,RNN,64,0.6666666666666666,2,0.5,False,0.01,10,0.423728813559322,0.15789473684210525,0.75,precision
170,56,RNN,64,0.6666666666666666,2,0.5,False,0.01,10,0.1864406779661017,0.14285714285714285,1.0,recall
171,57,RNN,64,0.6666666666666666,2,0.5,False,0.0001,10,0.8135593220338984,0.2,0.125,accuracy
172,57,RNN,64,0.6666666666666666,2,0.5,False,0.0001,10,0.8135593220338984,0.2,0.125,precision
173,57,RNN,64,0.6666666666666666,2,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
174,58,RNN,64,0.6666666666666666,2,0.5,True,0.01,10,0.847457627118644,0.0,0.0,accuracy
175,58,RNN,64,0.6666666666666666,2,0.5,True,0.01,10,0.847457627118644,0.3333333333333333,0.125,precision
176,58,RNN,64,0.6666666666666666,2,0.5,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
177,59,RNN,64,0.6666666666666666,2,0.5,True,0.0001,10,0.864406779661017,,0.0,accuracy
178,59,RNN,64,0.6666666666666666,2,0.5,True,0.0001,10,0.864406779661017,,0.0,precision
179,59,RNN,64,0.6666666666666666,2,0.5,True,0.0001,10,0.864406779661017,,0.0,recall
180,60,RNN,64,0.6666666666666666,2,0.75,False,0.01,10,0.864406779661017,,0.0,accuracy
181,60,RNN,64,0.6666666666666666,2,0.75,False,0.01,10,0.22033898305084745,0.14814814814814814,1.0,precision
182,60,RNN,64,0.6666666666666666,2,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
183,61,RNN,64,0.6666666666666666,2,0.75,False,0.0001,10,0.711864406779661,0.0,0.0,accuracy
184,61,RNN,64,0.6666666666666666,2,0.75,False,0.0001,10,0.1864406779661017,0.12962962962962962,0.875,precision
185,61,RNN,64,0.6666666666666666,2,0.75,False,0.0001,10,0.1694915254237288,0.12727272727272726,0.875,recall
186,62,RNN,64,0.6666666666666666,2,0.75,True,0.01,10,0.864406779661017,,0.0,accuracy
187,62,RNN,64,0.6666666666666666,2,0.75,True,0.01,10,0.6610169491525424,0.2,0.5,precision
188,62,RNN,64,0.6666666666666666,2,0.75,True,0.01,10,0.3559322033898305,0.17391304347826086,1.0,recall
189,63,RNN,64,0.6666666666666666,2,0.75,True,0.0001,10,0.7457627118644068,0.1111111111111111,0.125,accuracy
190,63,RNN,64,0.6666666666666666,2,0.75,True,0.0001,10,0.7457627118644068,0.1111111111111111,0.125,precision
191,63,RNN,64,0.6666666666666666,2,0.75,True,0.0001,10,0.7457627118644068,0.1111111111111111,0.125,recall
192,64,RNN,128,0.3333333333333333,1,0.5,False,0.01,10,0.711864406779661,0.09090909090909091,0.125,accuracy
193,64,RNN,128,0.3333333333333333,1,0.5,False,0.01,10,0.6271186440677966,0.18181818181818182,0.5,precision
194,64,RNN,128,0.3333333333333333,1,0.5,False,0.01,10,0.3728813559322034,0.17777777777777778,1.0,recall
195,65,RNN,128,0.3333333333333333,1,0.5,False,0.0001,10,0.23728813559322035,0.1509433962264151,1.0,accuracy
196,65,RNN,128,0.3333333333333333,1,0.5,False,0.0001,10,0.23728813559322035,0.1509433962264151,1.0,precision
197,65,RNN,128,0.3333333333333333,1,0.5,False,0.0001,10,0.23728813559322035,0.1509433962264151,1.0,recall
198,66,RNN,128,0.3333333333333333,1,0.5,True,0.01,10,0.711864406779661,0.0,0.0,accuracy
199,66,RNN,128,0.3333333333333333,1,0.5,True,0.01,10,0.4576271186440678,0.18421052631578946,0.875,precision
200,66,RNN,128,0.3333333333333333,1,0.5,True,0.01,10,0.4576271186440678,0.18421052631578946,0.875,recall
201,67,RNN,128,0.3333333333333333,1,0.5,True,0.0001,10,0.6949152542372882,0.08333333333333333,0.125,accuracy
202,67,RNN,128,0.3333333333333333,1,0.5,True,0.0001,10,0.22033898305084745,0.14814814814814814,1.0,precision
203,67,RNN,128,0.3333333333333333,1,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
204,68,RNN,128,0.3333333333333333,1,0.75,False,0.01,10,0.7796610169491526,0.14285714285714285,0.125,accuracy
205,68,RNN,128,0.3333333333333333,1,0.75,False,0.01,10,0.7627118644067796,0.2,0.25,precision
206,68,RNN,128,0.3333333333333333,1,0.75,False,0.01,10,0.15254237288135594,0.13793103448275862,1.0,recall
207,69,RNN,128,0.3333333333333333,1,0.75,False,0.0001,10,0.847457627118644,0.0,0.0,accuracy
208,69,RNN,128,0.3333333333333333,1,0.75,False,0.0001,10,0.847457627118644,0.0,0.0,precision
209,69,RNN,128,0.3333333333333333,1,0.75,False,0.0001,10,0.847457627118644,0.0,0.0,recall
210,70,RNN,128,0.3333333333333333,1,0.75,True,0.01,10,0.8813559322033898,1.0,0.125,accuracy
211,70,RNN,128,0.3333333333333333,1,0.75,True,0.01,10,0.8813559322033898,1.0,0.125,precision
212,70,RNN,128,0.3333333333333333,1,0.75,True,0.01,10,0.1694915254237288,0.14035087719298245,1.0,recall
213,71,RNN,128,0.3333333333333333,1,0.75,True,0.0001,10,0.864406779661017,,0.0,accuracy
214,71,RNN,128,0.3333333333333333,1,0.75,True,0.0001,10,0.864406779661017,,0.0,precision
215,71,RNN,128,0.3333333333333333,1,0.75,True,0.0001,10,0.864406779661017,,0.0,recall
216,72,RNN,128,0.3333333333333333,2,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
217,72,RNN,128,0.3333333333333333,2,0.5,False,0.01,10,0.7966101694915254,0.16666666666666666,0.125,precision
218,72,RNN,128,0.3333333333333333,2,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
219,73,RNN,128,0.3333333333333333,2,0.5,False,0.0001,10,0.2033898305084746,0.1320754716981132,0.875,accuracy
220,73,RNN,128,0.3333333333333333,2,0.5,False,0.0001,10,0.15254237288135594,0.13793103448275862,1.0,precision
221,73,RNN,128,0.3333333333333333,2,0.5,False,0.0001,10,0.15254237288135594,0.13793103448275862,1.0,recall
222,74,RNN,128,0.3333333333333333,2,0.5,True,0.01,10,0.864406779661017,,0.0,accuracy
223,74,RNN,128,0.3333333333333333,2,0.5,True,0.01,10,0.7966101694915254,0.25,0.25,precision
224,74,RNN,128,0.3333333333333333,2,0.5,True,0.01,10,0.3559322033898305,0.14285714285714285,0.75,recall
225,75,RNN,128,0.3333333333333333,2,0.5,True,0.0001,10,0.7627118644067796,0.0,0.0,accuracy
226,75,RNN,128,0.3333333333333333,2,0.5,True,0.0001,10,0.7627118644067796,0.0,0.0,precision
227,75,RNN,128,0.3333333333333333,2,0.5,True,0.0001,10,0.7627118644067796,0.0,0.0,recall
228,76,RNN,128,0.3333333333333333,2,0.75,False,0.01,10,0.8305084745762712,0.0,0.0,accuracy
229,76,RNN,128,0.3333333333333333,2,0.75,False,0.01,10,0.6101694915254238,0.2222222222222222,0.75,precision
230,76,RNN,128,0.3333333333333333,2,0.75,False,0.01,10,0.23728813559322035,0.13725490196078433,0.875,recall
231,77,RNN,128,0.3333333333333333,2,0.75,False,0.0001,10,0.22033898305084745,0.14814814814814814,1.0,accuracy
232,77,RNN,128,0.3333333333333333,2,0.75,False,0.0001,10,0.22033898305084745,0.14814814814814814,1.0,precision
233,77,RNN,128,0.3333333333333333,2,0.75,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
234,78,RNN,128,0.3333333333333333,2,0.75,True,0.01,10,0.864406779661017,,0.0,accuracy
235,78,RNN,128,0.3333333333333333,2,0.75,True,0.01,10,0.3898305084745763,0.16666666666666666,0.875,precision
236,78,RNN,128,0.3333333333333333,2,0.75,True,0.01,10,0.1864406779661017,0.14285714285714285,1.0,recall
237,79,RNN,128,0.3333333333333333,2,0.75,True,0.0001,10,0.847457627118644,0.3333333333333333,0.125,accuracy
238,79,RNN,128,0.3333333333333333,2,0.75,True,0.0001,10,0.847457627118644,0.3333333333333333,0.125,precision
239,79,RNN,128,0.3333333333333333,2,0.75,True,0.0001,10,0.2033898305084746,0.14545454545454545,1.0,recall
240,80,RNN,128,0.6666666666666666,1,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
